IDENTIFICADOR,MÓDULO,NOMBRE,PRIORIDAD,REQ. ASOCIADO,ENTRADA,SALIDA,DESCRIPCIÓN,PRECONDICIONES,POSTCONDICIONES,FLUJO BÁSICO,FLUJO ALTERNATIVO
T-011,Colector,Recepción de tráfico TCP de agentes,Alta,T-003,Flujo TCP con datos PCAP provenientes de los agentes.,Datos de tráfico escritos en un buffer PCAP local.,El colector debe recibir de forma simultánea los flujos TCP de tráfico provenientes de todos los agentes activos y escribirlos en un archivo buffer PCAP local.,Al menos un agente está conectado y transmitiendo datos.,Los datos de tráfico están almacenados en el buffer PCAP activo (buffer_actual.pcap).,"1. El colector escucha conexiones TCP en el puerto designado.
2. Acepta conexiones entrantes de los agentes.
3. Escribe los datos recibidos en el archivo buffer_actual.pcap de forma continua.","1. Si un agente se desconecta, el colector cierra esa conexión y sigue recibiendo de los demás."
T-012,Colector,Recepción de métricas UDP de agentes,Alta,T-006,"Paquetes UDP con métricas de sistema (CPU, RAM, velocidad) de los agentes.",Métricas de endpoint almacenadas y asociadas al agente correspondiente.,El colector debe recibir los paquetes UDP con métricas de sistema enviados por cada agente y asociarlos al endpoint correspondiente mediante su identificador único.,Los agentes están enviando métricas UDP y están registrados en el colector.,Las métricas de cada endpoint están disponibles para su persistencia y consulta.,"1. El colector escucha paquetes UDP en el puerto designado.
2. Recibe el paquete y extrae el identificador del agente.
3. Asocia las métricas al endpoint registrado.
4. Almacena los valores para su procesamiento.","1. Si el identificador no corresponde a un agente registrado, el paquete se descarta."
T-013,Colector,Ingesta continua en buffer PCAP,Alta,T-011,Datos de tráfico recibidos por TCP.,Archivo buffer_actual.pcap con tráfico acumulado.,"El colector debe escribir de forma continua e ininterrumpida los datos de tráfico recibidos en un archivo buffer temporal (buffer_actual.pcap), que nunca deja de recibir datos mientras haya agentes activos.",El servicio de recepción TCP está activo (RF-011).,El buffer PCAP contiene los datos de tráfico acumulados desde la última rotación.,"1. Los datos TCP entrantes se escriben secuencialmente en buffer_actual.pcap.
2. La escritura es continua y no se detiene.","1. Si el disco alcanza un umbral de capacidad, el colector emite una alerta interna."
T-014,Colector,Rotación de archivos PCAP,Alta,T-013,"Archivo buffer_actual.pcap en uso, con condición de rotación cumplida (tiempo o tamaño).","Archivo PCAP rotado con nombre basado en timestamp, y nuevo buffer_actual.pcap vacío.","El colector debe rotar el archivo PCAP activo cada minuto o al alcanzar 100MB, renombrándolo con un timestamp, cerrándolo para su análisis e inmediatamente creando un nuevo buffer vacío para continuar la ingesta.",El buffer PCAP ha alcanzado el umbral de rotación.,El archivo rotado está disponible para el motor de análisis y la ingesta continúa en un nuevo buffer.,"1. El colector detecta que se cumple la condición de rotación (1 minuto o 100MB).
2. Cierra el buffer_actual.pcap y lo renombra con formato lote_YYYYMMDD_HHMMSS.pcap.
3. Abre inmediatamente un nuevo buffer_actual.pcap.
4. El archivo rotado queda disponible para lectura por el motor de análisis.","1. Si el renombramiento falla, el colector reintenta antes de abrir un nuevo buffer."
T-015,Colector,Registro y control de agentes conectados,Alta,"T-009, T-010",Paquetes de handshake y heartbeats de los agentes.,Registro actualizado de agentes con estado (activo/inactivo) y última conexión.,"El colector debe mantener un registro de todos los agentes conectados, actualizando su estado según los heartbeats recibidos y marcando como inactivos aquellos que dejen de reportar.",Al menos un agente se ha registrado en el colector.,El inventario de agentes refleja el estado real de conectividad de cada uno.,"1. Al recibir un handshake, registra el agente o actualiza su timestamp.
2. Al recibir un heartbeat, actualiza la marca de última actividad.
3. Periódicamente verifica si algún agente superó el umbral de inactividad y lo marca como inactivo.","1. Si un agente previamente inactivo vuelve a enviar heartbeat, se marca como activo nuevamente."
T-016,Motor de Análisis,Procesamiento de archivos PCAP rotados,Alta,T-014,Archivo PCAP rotado disponible para lectura.,Datos estructurados (JSON/logs) generados por las herramientas de análisis.,"El motor de análisis debe tomar cada archivo PCAP rotado, procesarlo con las herramientas de análisis de tráfico configuradas y generar outputs estructurados que sirvan como insumo para las métricas.",Existe al menos un archivo PCAP rotado pendiente de análisis.,El archivo PCAP ha sido procesado y los outputs estructurados están disponibles para la capa de condensación.,"1. El motor detecta un nuevo archivo PCAP rotado.
2. Lo pasa por las herramientas de análisis de tráfico.
3. Recibe los outputs estructurados resultantes.
4. Marca el archivo como procesado.","1. Si el procesamiento falla, el archivo se marca como error y se registra en un log para revisión."
T-017,Motor de Análisis,Condensación y estructuración de datos para persistencia,Alta,T-016,Outputs estructurados de las herramientas de análisis.,Datos normalizados y correlacionados listos para inserción en base de datos.,"El motor debe tomar los outputs heterogéneos de las herramientas de análisis, condensarlos, correlacionar la información entre fuentes (tráfico, métricas de endpoint, inventario ARP) y estructurarlos según el modelo de datos definido para su persistencia en SQL.",Los outputs del procesamiento PCAP están disponibles (RF-016).,"Los datos están normalizados, correlacionados y listos para ser insertados en la base de datos.","1. El motor recoge los outputs de las herramientas de análisis.
2. Extrae la información relevante de cada fuente.
3. Correlaciona datos de tráfico con dispositivos del inventario.
4. Estructura los datos según el modelo relacional definido.","1. Si un dato no puede ser correlacionado con un dispositivo conocido, se registra con un identificador genérico."
T-018,Motor de Análisis,Persistencia de métricas en base de datos,Alta,T-017,Datos condensados y estructurados.,Registros insertados en las tablas correspondientes de la base de datos SQL.,"El motor debe insertar los datos procesados y estructurados en la base de datos SQL, manteniendo retención permanente de todo el histórico de métricas.",Los datos han sido condensados y estructurados (RF-017) y la base de datos está accesible.,Las métricas están persistidas en SQL y disponibles para consulta por la API.,"1. El motor ejecuta las inserciones en las tablas correspondientes.
2. Confirma la transacción.","1. Si la inserción falla, se registra el error y se reintenta.
2. Si la base de datos no está accesible, los datos se encolan para inserción posterior."
T-019,Motor de Análisis,Limpieza de archivos PCAP procesados,Media,T-016,Archivo PCAP marcado como procesado exitosamente.,Archivo PCAP eliminado del almacenamiento local.,"El motor debe eliminar los archivos PCAP que ya han sido procesados y persistidos exitosamente, liberando espacio en disco en el servidor.","El archivo PCAP ha sido procesado y sus datos persistidos sin errores (RF-016, RF-018).",El espacio en disco ocupado por el archivo PCAP ha sido liberado.,"1. El motor verifica que el archivo fue procesado y persistido exitosamente.
2. Elimina el archivo PCAP del almacenamiento.","1. Si la verificación indica errores en el procesamiento, el archivo no se elimina."
T-020,Motor de Análisis,Cálculo de consumo de ancho de banda por endpoint,Alta,T-017,Datos de tráfico procesados con orig_len preservado.,Métrica de ancho de banda consumido por cada endpoint en la ventana de tiempo analizada.,"El motor debe calcular el consumo de ancho de banda real de cada endpoint utilizando el campo orig_len preservado durante la sanitización, permitiendo obtener cifras precisas a pesar del recorte de payload.",Los datos de tráfico han sido procesados y contienen el campo orig_len.,La métrica de ancho de banda por endpoint está persistida y disponible para consulta.,"1. El motor agrupa los paquetes por endpoint de origen.
2. Suma los valores de orig_len para obtener el volumen real transmitido.
3. Calcula la tasa en la ventana de tiempo correspondiente.
4. Persiste el resultado.","1. Si orig_len no está disponible para un paquete, se usa el tamaño del paquete recortado como aproximación."
T-021,Motor de Análisis,Cálculo de Top Talkers,Alta,T-020,Métricas de ancho de banda por endpoint.,Ranking de los dispositivos con mayor consumo de ancho de banda.,"El motor debe generar un ranking de los dispositivos que más ancho de banda están consumiendo en la red (Top Talkers), ordenados de mayor a menor consumo.",Las métricas de ancho de banda por endpoint están calculadas (RF-020).,El ranking de Top Talkers está disponible para consulta por la API.,"1. El motor ordena los endpoints por consumo de ancho de banda descendente.
2. Genera el ranking con los principales consumidores.
3. Persiste el resultado.","1. Si todos los endpoints tienen consumo cero, se genera un ranking vacío."
T-022,Motor de Análisis,Cálculo de latencia promedio a internet (ISP Health),Alta,,Resultados de ping periódico a servidor externo (8.8.8.8) cada 30 segundos.,Indicador de latencia promedio que refleja la salud del enlace con el ISP.,"El sistema debe realizar mediciones periódicas de latencia hacia un servidor externo de referencia y calcular el promedio, permitiendo determinar si el proveedor de internet está funcionando correctamente. Si todos los endpoints reportan latencias superiores a 200ms, el indicador debe señalar un posible problema con el ISP.",Al menos un agente está activo y el enlace a internet está operativo.,El indicador de ISP Health está persistido y disponible para consulta.,"1. Se ejecutan pings a 8.8.8.8 cada 30 segundos.
2. Se promedian los resultados de todos los agentes.
3. Se calcula el indicador de salud del ISP.
4. Se persiste el resultado.","1. Si el ping falla completamente, se registra como pérdida total de conectividad."
T-023,Motor de Análisis,Cálculo de pérdida de paquetes global,Alta,T-016,Datos de tráfico procesados.,Porcentaje de pérdida de paquetes en la red.,"El motor debe calcular el porcentaje de pérdida de paquetes a nivel global de la red, contabilizando los pings fallidos en el último minuto sobre el total. Si la pérdida supera el 1%, debe señalarse como indicador de posibles problemas de conectividad.",Los datos de tráfico han sido procesados.,La métrica de packet loss está persistida y disponible para consulta.,"1. El motor contabiliza los paquetes perdidos vs enviados.
2. Calcula el porcentaje de pérdida.
3. Persiste el resultado.","1. Si no hay datos suficientes para el cálculo, se registra como indeterminado."
T-024,Motor de Análisis,Cálculo de retransmisiones TCP por endpoint,Alta,T-016,Datos de conexiones TCP procesados por endpoint.,Conteo y tasa de retransmisiones TCP por cada dispositivo.,"El motor debe analizar las conexiones TCP de cada endpoint para identificar retransmisiones, que pueden indicar problemas físicos de conexión como tarjetas de red defectuosas o cables dañados.",Los datos de tráfico TCP han sido procesados.,Las métricas de retransmisiones TCP por endpoint están persistidas.,"1. El motor analiza los logs de conexiones TCP por endpoint.
2. Identifica paquetes retransmitidos.
3. Calcula el conteo y tasa por dispositivo.
4. Persiste los resultados.","1. Si un endpoint no tiene conexiones TCP en la ventana, se registra con valor cero."
T-025,Motor de Análisis,Cálculo de conexiones fallidas por endpoint,Alta,T-016,Datos de conexiones procesados por endpoint.,Conteo de conexiones salientes rechazadas o sin respuesta por dispositivo.,"El motor debe contabilizar las conexiones salientes que fueron rechazadas o quedaron sin respuesta para cada endpoint, lo cual puede indicar configuraciones rotas o comportamiento anómalo.",Los datos de conexiones han sido procesados.,Las métricas de conexiones fallidas por endpoint están persistidas.,"1. El motor filtra conexiones con estado de rechazo o timeout por endpoint.
2. Contabiliza el total por dispositivo.
3. Persiste los resultados.","1. Si no hay conexiones fallidas, se registra con valor cero."
T-026,Motor de Análisis,Cálculo de DNS Response Time,Media,T-016,Datos de consultas DNS procesados.,Tiempo de respuesta promedio de DNS.,"El motor debe calcular el tiempo de respuesta promedio de las consultas DNS, permitiendo determinar si la navegación se percibe lenta por culpa de la resolución de dominios.",Los datos de tráfico DNS han sido procesados.,La métrica de DNS Response Time está persistida.,"1. El motor extrae las consultas DNS y sus tiempos de respuesta.
2. Calcula el promedio.
3. Si el tiempo supera 100ms, se marca como DNS lento.
4. Persiste el resultado.","1. Si no hay consultas DNS en la ventana, se registra como indeterminado."
T-027,Motor de Análisis,Cálculo de estabilidad de conexión (Jitter),Media,T-022,Mediciones de latencia entre agentes y hacia exterior.,Varianza de latencia (jitter) que indica estabilidad de la señal.,"El motor debe calcular la varianza de los tiempos de ping entre los agentes y hacia el exterior para determinar si la señal de red es estable. Si el ping varía mucho (ej: 20ms ? 150ms ? 30ms), indica que hay jitter alto.",Existen mediciones de latencia disponibles.,La métrica de jitter está persistida y disponible para consulta.,"1. El motor recopila las mediciones de latencia.
2. Calcula la varianza.
3. Persiste el resultado con indicador de estabilidad.","1. Si no hay suficientes mediciones, se registra como indeterminado."
T-028,Motor de Análisis,Construcción de inventario dinámico de activos,Alta,"T-008, T-015",Lista de dispositivos descubiertos por ARP y registro de agentes.,Inventario unificado de activos con clasificación de cobertura (con agente / sin agente).,"El motor debe construir y mantener un inventario dinámico que unifique los dispositivos descubiertos por ARP con los agentes registrados, clasificando cada activo según su cobertura de monitoreo.",Existen datos de descubrimiento ARP y/o agentes registrados.,El inventario de activos está actualizado en la base de datos con la clasificación de cobertura.,"1. El motor cruza la lista de dispositivos ARP con los agentes registrados.
2. Clasifica cada dispositivo como ""con agente"" o ""sin agente"".
3. Actualiza el inventario en la base de datos.","1. Si un dispositivo desaparece de las detecciones ARP en múltiples ciclos consecutivos, se marca como desconectado."
T-029,Motor de Análisis,Detección de patrones de tráfico sospechoso,Media,T-016,Datos de tráfico procesados.,Alerta generada si se identifican patrones anómalos.,"El motor debe analizar los datos de tráfico en busca de patrones que puedan indicar actividad sospechosa, como volúmenes inusuales de tráfico, conexiones a destinos atípicos o comportamientos repetitivos anómalos, y generar alertas correspondientes.",Los datos de tráfico han sido procesados.,"Si se detecta un patrón sospechoso, la alerta queda registrada en la base de datos para su notificación.","1. El motor evalúa los datos de tráfico contra los criterios de detección definidos.
2. Si se identifica un patrón anómalo, genera un registro de alerta.
3. Persiste la alerta con la información del endpoint, tipo de anomalía y timestamp.","1. Si no se detectan patrones sospechosos, no se genera ninguna alerta."
T-030,API,Autenticación de usuario (Login),Alta,,Credenciales del administrador (usuario y contraseña).,Token JWT válido o mensaje de error de autenticación.,"La API debe exponer un endpoint de autenticación que reciba las credenciales del administrador, las valide y retorne un token JWT que permita el acceso a los demás endpoints protegidos.",El administrador tiene credenciales registradas en el sistema.,El administrador posee un token JWT válido para consumir los endpoints protegidos.,"1. La API recibe usuario y contraseña.
2. Valida las credenciales contra la base de datos.
3. Si son correctas, genera un token JWT y lo retorna.","1. Si las credenciales son incorrectas, retorna un error de autenticación.
2. Si el usuario no existe, retorna el mismo error genérico para no exponer información."
T-031,API,Validación de token JWT en endpoints protegidos,Alta,T-030,Token JWT incluido en la cabecera de la petición.,Acceso concedido al recurso solicitado o error de autorización.,"La API debe validar el token JWT en cada petición a endpoints protegidos, verificando su vigencia e integridad antes de conceder acceso al recurso solicitado.",El cliente incluye un token JWT en la cabecera de la petición.,"Si el token es válido, la petición se procesa normalmente.","1. La API extrae el token de la cabecera.
2. Verifica su firma e integridad.
3. Verifica que no haya expirado.
4. Si es válido, permite el acceso al recurso.","1. Si el token es inválido o ha expirado, retorna un error 401."
T-032,API,Consulta de inventario de dispositivos,Alta,T-028,Petición autenticada al endpoint de inventario.,"Lista de dispositivos con su información: IP, MAC, estado, clasificación (con/sin agente), alias y métricas asociadas.","La API debe exponer un endpoint que retorne el inventario completo de dispositivos conectados a la red, incluyendo su información de identificación, estado, clasificación de cobertura y métricas de sistema asociadas.",El token JWT es válido y el inventario existe en la base de datos.,El cliente recibe el listado completo de dispositivos con su información.,"1. La API recibe la petición autenticada.
2. Consulta el inventario en la base de datos.
3. Retorna la lista de dispositivos con toda su información asociada.","1. Si no hay dispositivos registrados, retorna una lista vacía."
T-033,API,Consulta de detalle de un dispositivo,Alta,T-032,Petición autenticada con identificador del dispositivo.,"Información detallada del dispositivo: métricas de tráfico, CPU, RAM, retransmisiones TCP, conexiones fallidas, historial.","La API debe exponer un endpoint que retorne toda la información detallada de un dispositivo específico, incluyendo sus métricas de tráfico, métricas de sistema y su historial.",El token JWT es válido y el dispositivo existe en el inventario.,El cliente recibe la información completa del dispositivo solicitado.,"1. La API recibe el identificador del dispositivo.
2. Consulta toda la información asociada en la base de datos.
3. Retorna el detalle completo.","1. Si el dispositivo no existe, retorna un error 404."
T-034,API,Consulta de métricas generales de la red,Alta,T-018,Petición autenticada al endpoint de métricas de red.,"Métricas generales: ISP Health, packet loss, Top Talkers, jitter, DNS response time.",La API debe exponer un endpoint que retorne las métricas generales del estado de la red calculadas por el motor de análisis.,El token JWT es válido y existen métricas calculadas en la base de datos.,El cliente recibe las métricas generales actualizadas.,"1. La API recibe la petición autenticada.
2. Consulta las métricas generales más recientes.
3. Retorna los indicadores.","1. Si no hay métricas calculadas aún, retorna valores por defecto o vacíos."
T-035,API,Consulta de métricas por endpoint,Alta,T-018,Petición autenticada con identificador del endpoint.,"Métricas específicas: ancho de banda, retransmisiones TCP, conexiones fallidas, CPU, RAM.",La API debe exponer un endpoint que retorne las métricas específicas de un endpoint individual.,El token JWT es válido y el endpoint existe en el inventario.,El cliente recibe las métricas del endpoint solicitado.,"1. La API recibe el identificador del endpoint.
2. Consulta sus métricas en la base de datos.
3. Retorna los indicadores.","1. Si el endpoint no tiene métricas (ej: sin agente), retorna solo la información básica disponible."
T-036,API,Consulta de alertas,Alta,T-029,Petición autenticada al endpoint de alertas.,"Lista de alertas con tipo, endpoint asociado, descripción y timestamp.",La API debe exponer un endpoint que retorne las alertas generadas por el módulo de detección de tráfico sospechoso.,El token JWT es válido.,El cliente recibe el listado de alertas.,"1. La API recibe la petición.
2. Consulta las alertas en la base de datos.
3. Retorna la lista ordenada cronológicamente.","1. Si no hay alertas, retorna una lista vacía."
T-037,API,Consulta de estado de agentes,Alta,T-015,Petición autenticada al endpoint de agentes.,Lista de agentes con estado (activo/inactivo) y última conexión.,La API debe exponer un endpoint que retorne el estado de todos los agentes registrados en el colector.,El token JWT es válido y existen agentes registrados.,El cliente recibe el listado de agentes con su estado.,"1. La API consulta el registro de agentes.
2. Retorna la lista con estado y timestamp de última actividad.","1. Si no hay agentes registrados, retorna una lista vacía."
T-038,API,Edición de alias de dispositivo,Media,T-032,Petición autenticada con identificador del dispositivo y nuevo alias.,Confirmación de actualización exitosa.,La API debe exponer un endpoint que permita al administrador asignar o modificar un alias descriptivo a un dispositivo del inventario.,El token JWT es válido y el dispositivo existe en el inventario.,El alias del dispositivo ha sido actualizado en la base de datos.,"1. La API recibe el identificador y el nuevo alias.
2. Valida que el dispositivo existe.
3. Actualiza el alias en la base de datos.
4. Retorna confirmación.","1. Si el dispositivo no existe, retorna error 404.
2. Si el alias excede el largo permitido, retorna error de validación."
T-039,API,Envío de notificaciones push,Alta,T-029,Alerta generada por el motor de análisis.,Notificación push enviada al dispositivo móvil del administrador.,"La API debe enviar notificaciones push al dispositivo móvil del administrador cuando se genere una nueva alerta, incluso cuando la aplicación esté en segundo plano o cerrada.",Existe una nueva alerta persistida y el administrador tiene su dispositivo registrado para notificaciones.,El administrador recibe la notificación push en su dispositivo móvil a nivel del sistema operativo.,"1. El sistema detecta una nueva alerta en la base de datos.
2. Construye el payload de la notificación con tipo de alerta y resumen.
3. Envía la notificación push al dispositivo registrado.","1. Si el envío falla, se reintenta.
2. Si el dispositivo no está registrado, la alerta queda solo en la base de datos."
T-040,API,Consulta de métricas históricas,Media,T-018,Petición autenticada con rango de tiempo.,Métricas históricas dentro del rango solicitado.,"La API debe exponer un endpoint que permita consultar métricas históricas filtradas por rango de tiempo, dado que el sistema mantiene retención permanente de todos los datos.",El token JWT es válido y existen datos en el rango solicitado.,El cliente recibe las métricas del período solicitado.,"1. La API recibe el rango de tiempo (fecha inicio, fecha fin).
2. Consulta las métricas dentro del rango.
3. Retorna los resultados.","1. Si no hay datos en el rango, retorna una lista vacía."
T-041,App Móvil,Pantalla de inicio de sesión,Alta,T-030,Credenciales ingresadas por el administrador.,Acceso al dashboard principal o mensaje de error.,La aplicación debe presentar una pantalla de login donde el administrador ingrese sus credenciales para autenticarse contra la API.,La aplicación está instalada y el administrador tiene credenciales válidas.,El administrador ha iniciado sesión y accede al dashboard principal.,"1. El administrador ingresa usuario y contraseña.
2. La app envía las credenciales a la API.
3. Si son válidas, almacena el token JWT y navega al dashboard.","1. Si las credenciales son incorrectas, muestra mensaje de error.
2. Si no hay conexión con el servidor, muestra mensaje de conectividad."
T-042,App Móvil,Persistencia de sesión,Media,T-041,Token JWT almacenado localmente.,Sesión activa sin necesidad de reingresar credenciales.,"La aplicación debe mantener la sesión activa mientras el token JWT sea válido, evitando que el administrador deba iniciar sesión cada vez que abra la app.",El administrador ha iniciado sesión previamente y el token no ha expirado.,El administrador accede directamente al dashboard sin pasar por login.,"1. Al abrir la app, verifica si existe un token almacenado.
2. Valida su vigencia.
3. Si es válido, navega directamente al dashboard.","1. Si el token ha expirado, redirige a la pantalla de login."
T-043,App Móvil,Cierre de sesión,Media,T-042,Acción del administrador de cerrar sesión.,Token eliminado y redirección a pantalla de login.,"La aplicación debe permitir al administrador cerrar su sesión, eliminando el token JWT almacenado.",El administrador tiene una sesión activa.,El token ha sido eliminado y la app muestra la pantalla de login.,"1. El administrador selecciona la opción de cerrar sesión.
2. La app elimina el token almacenado.
3. Redirige a la pantalla de login.","1. Si la eliminación del token falla, se fuerza la redirección al login igualmente."
T-044,App Móvil,Dashboard general de la red,Alta,T-034,Métricas generales obtenidas de la API.,"Pantalla con indicadores de salud del ISP, packet loss, Top Talkers, jitter y DNS response time.","La aplicación debe mostrar un dashboard con las métricas generales del estado de la red, proporcionando al administrador una vista rápida de la salud de su infraestructura.",El administrador está autenticado y la API retorna métricas.,El administrador visualiza el estado general de su red.,"1. La app consulta el endpoint de métricas generales.
2. Presenta los indicadores en el dashboard.
3. Actualiza los datos periódicamente.","1. Si la API no responde, muestra los últimos datos disponibles con indicación de desactualización."
T-045,App Móvil,Listado de dispositivos (Inventario),Alta,T-032,Inventario de dispositivos obtenido de la API.,"Lista de dispositivos con nombre/alias, IP, estado y clasificación.","La aplicación debe mostrar el listado completo de dispositivos registrados en el inventario, diferenciando visualmente los que tienen agente de los que fueron descubiertos solo por ARP.",El administrador está autenticado y el inventario existe.,El administrador visualiza todos los dispositivos de su red.,"1. La app consulta el endpoint de inventario.
2. Muestra la lista de dispositivos con su información básica.
3. Diferencia visualmente dispositivos con y sin agente.","1. Si no hay dispositivos, muestra un mensaje indicando inventario vacío."
