Riesgos generales (Gestión y Alcance): ,,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,Responsable ,,,,
,,,,,Mantener un backup externo del repositorio semanalmente.,,,,,
,,,,,"Realizar ""commits"" pequeños y frecuentes (Atomic Commits).",,,,,
RO02,Indisponibilidad de un miembro clave. Enfermedad o carga académica externa de un integrante en semanas críticas.,3,2,Bajo ,Documentar las decisiones técnicas en una Wiki o Notion compartido.,Equipo de desarrolo ,,,,
,,,,,,,,,,
,,,,,Tener un plan de redistribución de tareas pre-acordado para contingencias.,,,,,
,,,,,,,,,,
RO03,Desmotivación por bloqueos técnicos. Que el equipo se frustre al no poder resolver un problema complejo (ej. integración de librerías).,3,2 ,Medio ,"Establecer una regla de ""Time-boxing"": si no se resuelve en 4 horas, se pide ayuda externa",Equipo de desarrollo ,,,,
,,,,,"Realizar sesiones de ""Rubber Ducking"" (explicar el código al compañero) para desbloqueo.",,,,,
,,,,,"Celebrar pequeños hitos (ej. ""Primera conexión exitosa"")",,,,,
RO04,Falta de coordinación Móvil-Backend. Que la App espere un formato de datos diferente al que envía el servidor.,4,3,Alto,Definir contratos de interfaz (Swagger/OpenAPI) antes de empezar a programar.,Equipo de desarrollo Movil / Backend,,,,
,,,,,Utilizar herramientas como Postman para validar los endpoints antes de integrarlos en la app.,,,,,
,,,,,Realizar reuniones de sincronización técnica al inicio de cada ciclo.,,,,,
,,,,,,,,,,
Riesgos de Calidad y UX,,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,responsable ,,,,
RC01,Interfaz Móvil incomprensible. Que el usuario no entienda los gráficos de topología o las alertas técnicas.,3,2 ,Medio ,Realizar pruebas de usabilidad con compañeros ajenos al proyecto (Pasillo testing).,Equipo de desarrollo ,,,,
,,,,,Usar metáforas visuales claras (Escudos verdes/rojos) en lugar de solo logs de texto.,,,,,
,,,,,Incluir un pequeño tutorial (Onboarding) o tooltips dentro de la app.,,,,,
,,,,,,,,,,
RC02,Fatiga de notificaciones. Que la app envíe tantas alertas que el usuario termine desactivándolas o ignorándolas.,3,4,Medio  ,"Implementar niveles de severidad (Info, Warning, Critical) y notificar solo las críticas.",Encargado del diseño ux / equipo de desarrolo ,,,,
,,,,,"Agrupar notificaciones repetitivas (ej. ""5 intentos de acceso"" en vez de 5 alertas).",,,,,
,,,,,"Permitir al usuario configurar horarios de ""No molestar"" o sensibilidad de alertas.",,,,,
RC03,Rendimiento pobre en dispositivos gama baja. Que la app sea lenta o se cierre en celulares con pocos recursos.,3 ,2 ,Medio  ,Optimizar el uso de memoria evitando cargar listas gigantes de logs en pantalla.,Desarrollador Movil,,,,
,,,,,Implementar paginación en las vistas de historial y dispositivos.,,,,,
,,,,,Probar la app en emuladores con recursos limitados (ej. 2GB RAM).,,,,,
,,,,,,,,,,
Riesgos de seguridad ,,,,,,,,,,
id ,Riesgo ,impacto ,probabilidad ,nivel de prioridad,Acciones de mitigación ,responsable ,,,,
RS01,Exposición de mapa de red sensible. Que un atacante acceda al celular y vea toda la estructura y vulnerabilidades de la red.,5,2,Alto,No guardar datos sensibles en texto plano en el almacenamiento local del teléfono (usar Keystore/Keychain).,Desarrollador Movil,,,,
,,,,,Requerir autenticación biométrica o PIN para abrir la app.,,,,,
,,,,,"Implementar un ""Borrado remoto"" o cierre de sesión automático tras inactividad.",,,,,
RS02,Intercepción de tráfico de monitoreo. Que las comunicaciones entre la App y el Backend sean espiadas (Man-in-the-Middle).,5,2 ,Alto,Forzar el uso de HTTPS/TLS para todas las conexiones API.,Desarrollador Movil,,,,
,,,,,"Implementar ""Certificate Pinning"" en la aplicación móvil.",,,,,
,,,,,Cifrar los payloads de datos sensibles a nivel de aplicación adicionalmente.,,,,,
RS03,Uso malintencionado de la herramienta. Que GOATGuard sea usado por un empleado descontento para atacar la red interna.,3,1,Alto,Registrar logs de auditoría inmutables de todas las acciones realizadas desde la app.,Desarrollador Movil,,,,
,,,,,Implementar roles de usuario (Solo lectura vs. Administrador).,,,,,
,,,,,"Mostrar un aviso legal de ""Uso autorizado únicamente"" al iniciar la app.",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
